# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	759
#@/user_id	sync-rime
a 	阿	c=1 d=0.923116 t=759
long 	龍	c=3 d=2.73728 t=759
lu kuang 	路況	c=0 d=0.00523397 t=759
lu kuang shang 	路況上	c=1 d=0.052602 t=759
lu shang 	路上	c=1 d=0.0490458 t=759
mei ge 	每個	c=1 d=0.463013 t=759
mei jia 	每家	c=1 d=0.701173 t=759
meng 	夢	c=1 d=0.96079 t=759
mi 	米	c=1 d=0.927743 t=759
mi bu 	彌補	c=1 d=0.202909 t=759
ming ming 	命名	c=0 d=0.0278037 t=759
ming ming wei 	命名爲	c=1 d=0.279431 t=759
mo kuai 	模塊	c=2 d=1.7215 t=759
mo ni 	模擬	c=0 d=0.0166423 t=759
mo ni ren yan 	模擬人眼	c=1 d=0.079659 t=759
mo xing 	模型	c=4 d=1.59435 t=759
mu biao 	目標	c=1 d=0.190139 t=759
mu di 	目的	c=1 d=0.856415 t=759
mu qian 	目前	c=4 d=0.941765 t=759
neng 	能	c=1 d=0.181772 t=759
ni de 	你的	c=2 d=1.90248 t=759
ni he 	擬合	c=1 d=0.150318 t=759
pan 	盤	c=2 d=1.4596 t=759
pang da 	龐大	c=1 d=0.19593 t=759
pi lao 	疲勞	c=0 d=0.0794534 t=759
pi lao jia shi 	疲勞駕駛	c=1 d=0.798517 t=759
pian fu 	篇幅	c=0 d=0.0102797 t=759
pian fu de 	篇幅的	c=1 d=0.103313 t=759
pu dong 	浦東	c=1 d=0.254107 t=759
qi 	其	c=2 d=0.622726 t=759
qi 	炁	c=1 d=0.955997 t=759
qi che 	汽車	c=3 d=0.70822 t=759
qi che hang ye 	汽車行業	c=1 d=0.683861 t=759
qi fa 	啓發	c=1 d=0.29523 t=759
qi tian da sheng 	齊天大聖	c=1 d=0.97531 t=759
qi zhong 	其中	c=2 d=0.557431 t=759
qian fang 	前方	c=1 d=0.0500367 t=759
qian liang 	前兩	c=1 d=0.410656 t=759
qie 	且	c=3 d=1.72141 t=759
qing liang 	清涼	c=1 d=0.224249 t=759
qing liang 	輕量	c=1 d=0.58567 t=759
qing liang ji 	輕量級	c=3 d=0.607826 t=759
qiu 	求	c=1 d=0.891366 t=759
quan ju 	全局	c=2 d=0.82473 t=759
que bao 	確保	c=0 d=0.00536647 t=759
ren gong zhi neng 	人工智能	c=1 d=0.16696 t=759
ren min 	人民	c=0 d=0.0965605 t=759
ren wu 	任務	c=0 d=0.126358 t=759
ren yan 	人眼	c=1 d=0.096404 t=759
ren yuan 	人員	c=1 d=0.0614212 t=759
ren zhe 	忍者	c=2 d=1.8097 t=759
ri 	ㄖ	c=1 d=0.97531 t=759
rong he 	融合	c=1 d=0.499075 t=759
ru 	如	c=4 d=1.13204 t=759
ru jian 	如見	c=1 d=0.121845 t=759
ru tu 	如圖	c=1 d=0.0658747 t=759
ru xia 	如下	c=1 d=0.814647 t=759
ruan 	軟	c=1 d=0.740818 t=759
san jiao 	三角	c=1 d=0.0845849 t=759
san wei 	三位	c=0 d=0.00561347 t=759
san wei 	三維	c=1 d=0.056699 t=759
san wei chong jian 	三位重建	c=2 d=0.120665 t=759
shan 	山	c=0 d=0.071177 t=759
shan du gu ji 	山都估計	c=1 d=0.715338 t=759
shan tui 	閃退	c=1 d=0.970446 t=759
shang 	上	c=1 d=0.532528 t=759
she bei 	設備	c=5 d=0.895834 t=759
she xiang tou 	攝像頭	c=4 d=0.442034 t=759
shen du 	深度	c=7 d=0.856213 t=759
shen du gu ji 	深度估計	c=17 d=3.70137 t=759
shen du xiang ji 	深度相機	c=5 d=0.292783 t=759
shen du xin xi 	深度信息	c=8 d=2.24594 t=759
shen du xue xi 	深度學習	c=1 d=0.131827 t=759
shen du xue xi de 	深度學習的	c=1 d=0.167797 t=759
shen du xue xi suan fa 	深度學習算法	c=2 d=0.307262 t=759
shen jing wang luo 	神經網絡	c=1 d=0.574072 t=759
shi 	使	c=2 d=0.355269 t=759
shi 	式	c=1 d=0.0963277 t=759
shi 	是	c=8 d=1.99878 t=759
shi 	礻	c=1 d=0.980199 t=759
shi bao han 	是包含	c=1 d=0.0769192 t=759
shi cha 	視差	c=2 d=0.088094 t=759
shi ding 	適定	c=1 d=0.194953 t=759
shi jue 	視覺	c=3 d=1.34408 t=759
shi shi 	實施	c=1 d=0.1764 t=759
shi shi 	實時	c=4 d=1.57144 t=759
shi shi mo xing 	實時模型	c=1 d=0.229926 t=759
shi shi xiao guo 	實時效果	c=1 d=0.205975 t=759
shi shi xing 	史詩性	c=1 d=0.198891 t=759
shi shi xing 	實時性	c=2 d=0.471059 t=759
shi xian 	實現	c=4 d=0.83325 t=759
shi yong 	使用	c=6 d=1.16265 t=759
shou 	受	c=1 d=0.292292 t=759
shu chu 	輸出	c=2 d=0.97917 t=759
shu ju ji 	數據集	c=1 d=0.524663 t=759
shu ru 	輸入	c=1 d=0.14808 t=759
shuang mu 	雙目	c=6 d=0.48832 t=759
shuang mu xiang ji 	雙目相機	c=1 d=0.0765355 t=759
si 	厶	c=1 d=0.985112 t=759
si 	四	c=1 d=0.873716 t=759
si ge 	四個	c=0 d=0.0402524 t=759
si ge jie duan 	四個階段	c=1 d=0.404542 t=759
si ji 	司機	c=1 d=0.790571 t=759
si jia che 	私家車	c=1 d=0.697677 t=759
su 	素	c=0 d=0.0733447 t=759
su du 	速度	c=1 d=0.774916 t=759
su duo che huo de 	素多車獲得	c=1 d=0.737123 t=759
suan fa 	算法	c=0 d=0.0143704 t=759
suan li 	算力	c=1 d=0.18452 t=759
sui chu ke jian 	隨處可見	c=1 d=0.123687 t=759
sui zhe 	隨着	c=3 d=1.40377 t=759
sun shi 	損失	c=0 d=0.0305747 t=759
suo 	所	c=1 d=0.453844 t=759
suo shi 	所示	c=1 d=0.066205 t=759
suo ti 	所提	c=0 d=0.0532592 t=759
suo ti chu de 	所提出的	c=1 d=0.535262 t=759
suo xu 	所需	c=0 d=0.0157237 t=759
suo xu she bei 	所需設備	c=1 d=0.158025 t=759
suo yao qiu 	所要求	c=1 d=0.111359 t=759
suo you 	所有	c=0 d=0.0822835 t=759
ta 	它	c=4 d=1.07374 t=759
ta shi 	他是	c=0 d=0.00871609 t=759
ta shi mo ni 	他是模擬	c=1 d=0.0875978 t=759
te zheng 	特徵	c=1 d=0.50409 t=759
ti 	體	c=1 d=0.980199 t=759
ti qu 	提取	c=6 d=2.20397 t=759
tiao yue 	跳躍	c=1 d=0.378684 t=759
tiao yue lian jie 	跳躍連接	c=1 d=0.477114 t=759
tong guo 	通過	c=2 d=0.88692 t=759
tong guo yi ge 	通過一個	c=1 d=0.474734 t=759
tong ji 	統計	c=1 d=0.759573 t=759
tong shi 	同時	c=1 d=0.722528 t=759
tu 	圖	c=1 d=0.375311 t=759
tu pian 	圖片	c=1 d=0.847894 t=759
tuo man 	拖慢	c=1 d=0.759573 t=759
tuo zhan 	拓展	c=0 d=0.0394554 t=759
tuo zhan dao 	拓展到	c=1 d=0.396532 t=759
wa er 	娃兒	c=0 d=0.095123 t=759
wang luo 	網絡	c=2 d=0.866414 t=759
wang luo mo xing 	網絡模型	c=1 d=0.172907 t=759
wang wang 	往往	c=1 d=0.215455 t=759
wei 	爲	c=2 d=0.596202 t=759
wei du 	維度	c=1 d=0.394554 t=759
wei le 	爲了	c=1 d=0.70822 t=759
wei wa er di 	爲娃兒地	c=1 d=0.955998 t=759
wo de 	我的	c=1 d=0.96079 t=759
wo men 	我們	c=3 d=1.04059 t=759
wu 	乄	c=1 d=0.995012 t=759
wu bi 	五筆	c=2 d=1.0458 t=759
wu bi 	無比	c=1 d=0.0862936 t=759
wu fa 	無法	c=1 d=0.196912 t=759
xi jie 	細節	c=1 d=0.108068 t=759
xia 	下	c=0 d=0.0980199 t=759
xia da yu 	下大雨	c=2 d=1.97516 t=759
xiang ji 	相機	c=9 d=0.795884 t=759
xiang jie he 	相結合	c=1 d=0.250324 t=759
xiang tong 	相同	c=1 d=0.0720785 t=759
xiang xi 	詳細	c=0 d=0.010435 t=759
xiao 	小	c=1 d=0.97531 t=759
xiao bang 	肖邦	c=1 d=0.965605 t=759
xiao guo 	效果	c=1 d=0.294393 t=759
xin xi 	信息	c=3 d=0.555079 t=759
xin xing 	新型	c=1 d=0.174645 t=759
xing 	性	c=0 d=0.0338347 t=759
xing 	星	c=1 d=0.955998 t=759
xing che 	行車	c=0 d=0.0126186 t=759
xing che ji lu yi 	行車記錄儀	c=1 d=0.126818 t=759
xing neng 	性能	c=1 d=0.160414 t=759
xing ren 	行人	c=2 d=0.107335 t=759
xing xue 	型血	c=2 d=1.99501 t=759
xu duo 	許多	c=1 d=0.740818 t=759
xu qiu 	需求	c=1 d=0.18919 t=759
xu yao 	需要	c=2 d=0.40165 t=759
xu yao ying jian 	需要硬件	c=1 d=0.0424257 t=759
xue xi 	學習	c=1 d=0.11231 t=759
xun su 	迅速	c=1 d=0.694197 t=759
yan jiu 	研究	c=5 d=1.7215 t=759
yan jiu le 	研究了	c=1 d=0.68045 t=759
yan jiu ren yuan 	研究人員	c=1 d=0.677057 t=759
yan jiu sheng 	研究生	c=1 d=0.970446 t=759
yan zheng 	驗證	c=1 d=0.532592 t=759
yang 	洋	c=1 d=0.995012 t=759
yao qiu 	要求	c=0 d=0.0158025 t=759
ye 	也	c=2 d=0.88724 t=759
ye chu xian le 	也出現了	c=1 d=0.169483 t=759
ye qu 	夜曲	c=1 d=0.970446 t=759
ye yi jing 	也已經	c=1 d=0.180866 t=759
ye zai 	也在	c=0 d=0.0722528 t=759
ye zai cheng 	也在成	c=1 d=0.726149 t=759
yi 	以	c=2 d=0.314399 t=759
yi ding 	一定	c=0 d=0.088692 t=759
yi ding de 	一定的	c=1 d=0.891366 t=759
yi ge 	一個	c=1 d=0.161414 t=759
yi jing 	已經	c=1 d=0.633694 t=759
yi kuan 	一款	c=1 d=0.0668703 t=759
yi liang 	一輛	c=1 d=0.66365 t=759
yi mei 	一枚	c=1 d=0.11475 t=759
yi que bao 	以確保	c=1 d=0.0539337 t=759
yi wang 	以往	c=2 d=0.787534 t=759
yi wang de 	以往的	c=2 d=0.546217 t=759
yi xia 	一下	c=1 d=0.965605 t=759
yi xiang 	一項	c=1 d=0.60653 t=759
yi zhi 	一直	c=1 d=0.67032 t=759
yi zhong 	一種	c=1 d=0.0893674 t=759
yi zu 	一組	c=1 d=0.0776922 t=759
yin ci 	因此	c=1 d=0.147138 t=759
yin ci yao qiu 	因此要求	c=1 d=0.158817 t=759
yin wei 	因爲	c=0 d=0.0782704 t=759
ying 	應	c=1 d=0.697677 t=759
ying jian 	硬件	c=0 d=0.00422142 t=759
ying yong 	應用	c=1 d=0.125207 t=759
ying yong zai 	應用在	c=1 d=0.133321 t=759
yong yu 	用於	c=3 d=1.37395 t=759
you 	有	c=3 d=1.59273 t=759
you 	由	c=3 d=1.03662 t=759
you ci ke jian 	由此可見	c=1 d=0.0871609 t=759
you shi 	優勢	c=1 d=0.118837 t=759
you xi 	遊戲	c=1 d=0.882497 t=759
you yu 	由於	c=2 d=0.256921 t=759
yu 	於	c=1 d=0.985112 t=759
yu 	與	c=1 d=0.0710054 t=759
yu ce 	預測	c=2 d=0.45484 t=759
yu fu yang 	於福洋	c=1 d=1 t=759
yuan 	原	c=1 d=0.373439 t=759
yuan cheng 	遠程	c=1 d=0.965605 t=759
yuan li 	原理	c=7 d=0.652104 t=759
yuan yin 	原因	c=2 d=0.782704 t=759
yuan you 	原有	c=1 d=0.308819 t=759
yue pao 	約炮	c=1 d=0.970446 t=759
yun yong 	運用	c=1 d=0.0689069 t=759
zai 	在	c=7 d=1.32423 t=759
zai suo you de 	在所有的	c=1 d=0.826959 t=759
zao cheng 	造成	c=0 d=0.0726149 t=759
zao cheng le 	造成了	c=1 d=0.729789 t=759
ze 	則	c=0 d=0.00997589 t=759
ze xu yao 	則需要	c=1 d=0.100259 t=759
zeng dui 	曾對	c=1 d=0.715338 t=759
zeng duo 	增多	c=1 d=0.718924 t=759
zhan shi 	展示	c=1 d=0.117655 t=759
zhang 	張	c=1 d=0.970446 t=759
zhe li 	這裏	c=1 d=0.10435 t=759
zhe ye 	這也	c=1 d=0.116485 t=759
zhi cheng 	支撐	c=1 d=0.164474 t=759
zhi jie 	直接	c=1 d=0.0413782 t=759
zhi yi 	之一	c=0 d=0.0657047 t=759
zhi zuo 	製作	c=1 d=0.729789 t=759
zhong 	中	c=4 d=1.48568 t=759
zhong de 	中的	c=1 d=0.865022 t=759
zhong fang fa 	種方法	c=0 d=0.0932393 t=759
zhong guo 	中國	c=5 d=4.72844 t=759
zhong hua 	中華	c=0 d=0.0965605 t=759
zhong hua ren min 	中華人民	c=1 d=0.970446 t=759
zhu ti 	主題	c=1 d=0.275271 t=759
zhu yao 	主要	c=1 d=0.806541 t=759
zhu yao shi 	主要是	c=0 d=0.0782704 t=759
zhu yao shi yin wei 	主要是因爲	c=1 d=0.786628 t=759
zhu yi 	注意	c=1 d=0.806541 t=759
zhu yi li 	注意力	c=1 d=0.810584 t=759
zhuan huan cheng 	轉換成	c=1 d=0.0629761 t=759
zi dong jia shi 	自動駕駛	c=2 d=0.107093 t=759
zi yuan 	資源	c=1 d=0.895834 t=759
zong ti shang 	總體上	c=0 d=0.0946485 t=759
zong ti shang lai shuo 	總體上來說	c=1 d=0.95123 t=759
zu cheng 	組成	c=3 d=1.30373 t=759
zui da 	最大	c=1 d=0.398519 t=759
zui hou 	最後	c=1 d=0.506617 t=759
zui ji ben 	最基本	c=1 d=0.186374 t=759
zuo de 	做的	c=1 d=0.0608101 t=759
zuo yong 	作用	c=1 d=0.064894 t=759
